Timestamp,Members of the Belcher family with whom I identify (select all that apply)
9/10/2019 8:29:35,Bob
9/10/2019 8:54:39,"Bob, Tina, Gene, Louise"
9/10/2019 9:58:31,Bob
9/10/2019 10:05:35,"Bob, Linda, Tina, Gene"
9/10/2019 11:27:41,"Linda, Tina"
9/10/2019 12:04:01,"Bob, Tina, Louise"
9/10/2019 13:06:41,"Linda, Tina, Gene"
9/10/2019 19:45:50,Tina
9/10/2019 22:30:56,"Tina, Louise"
9/11/2019 12:26:58,"Bob, Tina, Gene"
9/11/2019 21:10:35,"Bob, Tina, Louise"
9/13/2019 1:27:39,"Tina, Louise"
9/13/2019 19:09:08,Tina
