Weekend,this_weekend,last_weekend,Title,Studio,Weekend Gross,pct_change,Theater Count,Change,Average,Total Gross,budget_mills,week_number
2019-09-06,84,79,Bethany Hamilton: Unstoppable,ENTMP,539,-0.73,1,-5,539,588636.00,-,9
2019-09-06,67,64,Jay Myself,Osci.,7430,-0.5,14,-2,531,123913.00,-,6
2019-09-06,51,57,Marianne & Leonard: Words of Love,RAtt.,23532,-0.26,48,-7,490,988375.00,-,10
2019-09-06,76,80,Free Trip to Egypt,INDEP,2374,0.33,5,3,475,41471.00,-,15
2019-09-06,64,50,Brian Banks,BST,9489,-0.76,20,-64,474,4309881.00,-,5
2019-09-06,83,91,I Do Not Care If We Go Down in History as Barbarians,BWP,947,2.22,2,1,474,8961.00,-,8
2019-09-06,40,38,John Wick: Chapter 3 - Parabellum,LG/S,52748,-0.37,113,-26,467,171002126.00,-,17
2019-09-06,77,95,The Mountain,KL,2255,13.74,5,4,451,53939.00,-,7
2019-09-06,46,42,Men in Black International,Sony,31672,-0.52,75,-16,422,79790972.00,110,13
2019-09-06,54,47,The Nightingale (2019),IFC,19814,-0.61,47,-32,422,379759.00,-,6
2019-09-06,69,61,Toni Morrison: The Pieces I Am,Magn.,6594,-0.57,17,-1,388,869132.00,-,12
2019-09-06,74,78,A Brother's Love,EOne,2631,0.22,7,4,376,523712.00,-,14
2019-09-06,86,-,The Other Story,Strand,356,-,1,-,356,128442.00,-,11
2019-09-06,70,63,The Other Side of Heaven 2: Fire of Faith,AAE,5478,-0.63,16,-1,342,1717646.00,-,11
2019-09-06,78,73,Buñuel in the Labyrinth of the Turtles,GK,2252,-0.35,8,2,282,27126.00,-,4
2019-09-06,41,N,Plácido Domingo Gala,Fathom,52502,-,217,-,242,52502.00,-,1
2019-09-06,61,40,Avengers: Endgame,BV,12680,-0.82,55,-55,231,858366365.00,356,20
2019-09-06,63,33,Killerman,Blue Fox,10776,-0.93,48,-274,225,276998.00,-,2
2019-09-06,89,96,Piranhas,MBox,172,0.25,1,-1,172,19540.00,-,6
2019-09-06,90,-,Yomeddine,Strand,170,-,1,-,170,11308.00,-,13
2019-09-06,85,77,Be Natural: The Untold Story of Alice Guy-Blaché,Zeit.,488,-0.78,3,-1,163,98053.00,-,21
2019-09-06,45,26,Bennett's War,FF,39227,-0.91,290,-680,135,725042.00,-,2
2019-09-06,87,85,The Queen (2019 re-release),KL,331,-0.66,3,1,110,47481.00,-,11
2019-09-06,88,94,A Beautiful Planet,IMAX,290,0.59,3,1,97,15554760.00,-,176
2019-09-06,91,89,Born to Be Wild (IMAX),WB,84,-0.88,1,-1,84,25899251.00,-,440
2019-08-30,54,57,Miles Davis: Birth of Cool,Abr.,36444,1,2,1,18222,66891.00,-,2
2019-08-30,43,N,Official Secrets,IFC,64965,-,4,-,16241,64965.00,-,1
2019-08-30,20,N,Ne Zha,WGUSA,1015755,-,66,-,15390,1164810.00,-,1
2019-08-30,27,26,Brittany Runs a Marathon,Amazon,415888,1.3,48,43,8664,639075.00,-,2
2019-08-30,59,N,Before You Know It (2019),1091,23086,-,3,-,7695,23086.00,-,1
2019-08-30,51,45,Exit,CJ,37927,-0.05,5,-6,7585,383299.00,-,5
2019-08-30,36,N,Raise Hell: The Life & Times of Molly Ivins,Magn.,94504,-,18,-,5250,94504.00,-,1
2019-08-30,53,51,Give Me Liberty,MBox,37214,0.12,9,6,4135,79315.00,-,2
2019-08-30,71,N,The Load,Ghop,4094,-,1,-,4094,4094.00,-,1
2019-08-30,72,-,The Third Wife,FM,3889,-,1,-,3889,84933.00,-,13
2019-08-30,16,N,Saaho,Yash,1452102,-,381,-,3811,2370211.00,-,1
2019-08-30,1,1,Angel has Fallen,LGF,11799409,-0.45,"3,336",50,3537,40913630.00,40,2
2019-08-30,6,3,Overcomer,Affirm,5665606,-0.31,"1,827",104,3101,17212235.00,5,2
2019-08-30,19,N,Tod@s Caen,PNT,1098401,-,371,-,2961,1098401.00,-,1
2019-08-30,39,48,Fiddler: A Miracle of Miracles,RAtt.,77976,1.14,28,21,2785,135612.00,-,2
2019-08-30,2,2,Good Boys,Uni.,9505900,-0.18,"3,458",105,2749,56513865.00,20,3
2019-08-30,58,53,Tigers are Not Afraid,Vari.,24558,-0.2,9,3,2729,68122.00,-,2
2019-08-30,75,N,The Miracle of the Little Prince,FM,2643,-,1,-,2643,3942.00,-,1
2019-08-30,15,N,Don't Let Go,OTL,2338669,-,922,-,2537,2338669.00,5,1
2019-08-30,29,19,Mission Mangal,FIP,375143,-0.43,151,-112,2484,3316146.00,-,3
2019-08-30,12,12,The Peanut Butter Falcon,RAtt.,3018384,0.02,"1,249",253,2417,8004681.00,-,4
2019-08-30,70,66,The Bravest,Sony,4420,-0.37,2,-,2210,288805.00,-,4
2019-08-30,4,4,Fast & Furious Presents: Hobbs & Shaw,Uni.,6460835,-0.2,"2,972",-340,2174,157273185.00,200,5
2019-08-30,67,61,The Divine Fury,WGUSA,6517,-0.45,3,-4,2172,97484.00,-,3
2019-08-30,3,5,The Lion King (2019),BV,6923452,-0.14,"3,190",-110,2170,521152746.00,260,7
2019-08-30,10,10,Once Upon a Time in Hollywood,Sony,4119948,-0.18,"1,993",-216,2067,129742497.00,90,6
2019-08-30,5,6,Ready or Not,FoxS,5912499,-0.26,"2,998",143,1972,20389072.00,6,2
2019-08-30,24,24,Aladdin (2019),BV,450222,1.2,230,45,1957,354419887.00,183,15
2019-08-30,68,71,Vita and Virginia,IFC,5577,0.64,3,2,1859,12246.00,-,2
2019-08-30,7,8,Scary Stories to Tell in the Dark,LGF,4998728,-0.15,"2,747",-80,1820,57618974.00,25,4
2019-08-30,11,9,Dora and the Lost City of Gold,Par.,4102301,-0.23,"2,477",-366,1656,49559992.00,49,4
2019-08-30,81,76,End of the Century (2019),CGld,1626,-0.33,1,-,1626,20272.00,-,3
2019-08-30,69,-,A Faithful Man,KL,4532,-,3,-,1511,55662.00,-,7
2019-08-30,48,36,Tel Aviv on Fire,Cohen,48806,-0.2,35,-2,1394,390308.00,-,5
2019-08-30,82,-,Long Day's Journey Into Night (2019),KL,1385,-,1,-,1385,490615.00,-,21
2019-08-30,8,15,Spider-Man: Far from Home,Sony,4303733,1.56,"3,162","2,154",1361,384756321.00,160,9
2019-08-30,9,7,The Angry Birds Movie 2,Sony,4238488,-0.34,"3,311",-558,1280,34028596.00,65,3
2019-08-30,30,23,Luce,Neon,300636,0.19,235,75,1279,1290527.00,-,5
2019-08-30,46,41,Honeyland,Neon,53541,0.15,42,6,1275,373062.00,-,6
2019-08-30,49,54,Aquarela,SPC,43140,0.8,35,22,1233,123603.00,-,3
2019-08-30,32,25,The Secret Life of Pets 2,Uni.,275585,0.37,227,42,1214,157834430.00,80,13
2019-08-30,52,47,The Fighting Preacher,Purd.,37903,0,32,5,1184,634850.00,-,6
2019-08-30,41,32,Menteur,EOne,68148,-0.15,58,-,1175,4361463.00,-,8
2019-08-30,13,11,47 Meters Down: Uncaged,ENTMP,2431370,-0.38,"2,224",-659,1093,19180347.00,12,3
2019-08-30,25,27,After the Wedding (2019),SPC,446655,1.9,428,347,1044,864016.00,-,4
2019-08-30,84,93,Journey to the South Pacific,IMAX,1036,2.71,1,-,1036,7653913.00,-,275
2019-08-30,28,21,Yesterday,Uni.,398025,0,397,-41,1003,73060420.00,26,10
2019-08-30,22,39,Midsommar,A24,668085,12.54,676,632,988,26732936.00,-,9
2019-08-30,56,40,One Child Nation,Amazon,35137,-0.25,36,2,976,212514.00,-,4
2019-08-30,21,18,The Farewell,A24,841414,-0.05,891,75,944,15732711.00,-,8
2019-08-30,64,62,Jay Myself,Osci.,14730,0.36,16,7,921,105979.00,-,5
2019-08-30,17,13,The Art of Racing in the Rain,Fox,1326103,-0.37,"1,475",-565,899,23903401.00,-,4
